"gvkey","year","Filing","Date","Restate_Int"
1004,2005,"0001104659-05-033688","7/22/2005",0
1004,2006,"0001104659-06-047248","7/17/2006",0
1004,2007,"0001104659-07-055173","7/20/2007",0
1004,2008,"0001047469-08-008126","7/11/2008",0
1004,2009,"0001047469-09-006783","7/16/2009",0
1013,2005,"0001206774-05-000032","1/14/2005",0
1013,2006,"0000950134-06-000594","1/17/2006",0
1013,2007,"0000950137-07-018659","12/18/2007",0
1013,2008,"0000950152-08-010514","12/22/2008",0
1021,2005,"0001157523-05-008392","9/27/2005",0
1021,2006,"0001157523-06-009238","9/15/2006",0
1021,2007,"0001157523-07-009801","10/12/2007",0
1034,2005,"0000730469-05-000021","3/31/2005",1
1045,2005,"0000950134-05-003726","2/25/2005",0
1045,2006,"0000950134-06-003715","2/24/2006",0
1045,2007,"0000950134-07-003888","2/23/2007",1
1045,2008,"0000004515-08-000014","2/20/2008",0
1045,2009,"0000006201-09-000009","2/19/2009",0
1048,2005,"0000950129-05-002955","3/29/2005",0
1050,2005,"0001193125-05-077739","4/15/2005",0
1050,2006,"0001193125-06-068031","3/30/2006",0
1050,2007,"0001193125-07-071909","4/2/2007",0
1050,2008,"0001193125-08-058939","3/17/2008",0
1050,2009,"0001193125-09-055504","3/16/2009",0
1056,2005,"0001047469-05-022854","9/13/2005",0
1072,2005,"0000859163-05-000094","6/14/2005",0
1072,2006,"0000859163-06-000102","5/30/2006",0
1072,2007,"0000859163-07-000122","5/21/2007",0
1072,2008,"0000859163-08-000101","5/19/2008",0
1072,2009,"0000859163-09-000117","5/20/2009",0
1075,2005,"0000950153-05-000539","3/16/2005",0
1075,2006,"0000950153-06-000633","3/13/2006",0
1075,2007,"0000950153-07-000444","2/28/2007",0
1075,2008,"0000950153-08-000407","2/27/2008",0
1075,2009,"0000950134-09-003359","2/20/2009",0
1078,2005,"0001047469-05-005185","3/2/2005",0
1078,2006,"0001047469-06-002258","2/22/2006",0
1078,2007,"0001104659-07-013496","2/23/2007",0
1078,2008,"0001047469-08-001480","2/19/2008",0
1078,2009,"0001047469-09-001642","2/20/2009",0
1082,2005,"0000950144-05-007680","7/25/2005",0
1082,2006,"0000950144-06-007140","7/31/2006",0
1082,2007,"0000950144-07-006681","7/19/2007",0
1082,2008,"0000950144-08-005859","7/30/2008",0
1082,2009,"0000950123-09-026430","7/28/2009",0
1094,2005,"0001188112-05-001634","9/12/2005",0
1094,2006,"0001188112-06-002829","9/12/2006",0
1094,2007,"0001188112-07-002769","9/10/2007",0
1094,2008,"0001188112-08-002560","9/5/2008",0
1094,2009,"0001188112-09-002004","9/11/2009",0
1104,2005,"0001026608-05-000015","3/18/2005",0
1104,2006,"0001026608-06-000045","3/16/2006",0
1104,2007,"0001026608-07-000040","3/15/2007",0
1104,2008,"0001026608-08-000057","3/12/2008",0
1104,2009,"0001026608-09-000026","3/10/2009",0
1117,2005,"0001116502-05-000524","3/25/2005",0
1117,2006,"0001116502-06-000549","3/14/2006",0
1117,2007,"0001116502-07-000444","3/7/2007",0
1117,2008,"0001116502-08-000360","3/5/2008",0
1117,2009,"0001116502-09-000348","3/9/2009",0
1121,2005,"0000002178-05-000008","3/24/2005",0
1121,2006,"0000002178-06-000013","3/31/2006",0
1121,2007,"0000002178-07-000008","3/30/2007",0
1121,2008,"0000002178-08-000011","3/31/2008",0
1121,2009,"0000002178-09-000007","3/24/2009",0
1161,2005,"0001193125-05-039876","3/1/2005",0
1161,2006,"0001193125-06-040130","2/27/2006",0
1161,2007,"0001193125-07-044191","3/1/2007",0
1161,2008,"0001193125-08-038588","2/26/2008",0
1161,2009,"0001193125-09-036235","2/24/2009",0
1173,2005,"0000109471-05-000010","4/18/2005",0
1173,2006,"0000109471-06-000007","3/28/2006",0
1173,2007,"0000910680-07-000324","5/1/2007",0
1173,2008,"0001193125-08-117352","5/16/2008",0
