"gvkey","act","bkvlps","cogs","dltt","dp","dv","ebit","gdwl","ppent","revt","xlr","leverage_index","depre_index","saleadmin_index"
1004,251.742,13.0093,1490,922.9,151.8,22.254,573.123,1.408,2715.678,2620.378,926.474,3.66605492925297,0.0529385055438961,0.353565020008564
1045,6838,-11.8309,18138,9253,995,0,308,0,15082,22170,6847,1.35317344252705,0.0618896560303539,0.308840775823184
1050,48.452,2.4565,106.692,10.8,1.758,0,4.64,14.713,5.88,140.602,808.819,0.222901015437959,0.230164964650432,5.75254263808481
1072,139.357,19.8308,284.743,317,26.39,24.389,374.072,13.629,529.2,928.331,578.753,2.27473323909097,0.0474990550585864,0.623433882957695
1075,931.93,33.8634,2125.206,3045.794,414.555,216.979,723.884,153.809,9393.867,3263.645,621.012,3.2682647838357,0.0422652084096708,0.190281724881229
1078,22317.529,14.4721,11382.887,12523.517,2624.305,2671.475,8038.781,15930.077,7970.956,35166.721,4121.4,0.561151595232608,0.247686678034642,0.117196027460166
1094,195.553,5.4946,288.821,0.55,2.796,5.067,14.099,1.73,6.913,346.631,524.285,0.00281253675474168,0.287980224533938,1.51251619156971
1104,42.627,8.2607,38.914,13.522,0.87,0.656,2.98,0,2.216,63.149,297.567,0.317216787482112,0.281918340894362,4.71214112654199
1117,23.76,2.1016,13.816,2,0.811,0,-0.628,0,1.357,25.954,419.14,0.0841750841750842,0.374077490774908,16.1493411420205
1121,246.976,21.3739,2178.563,0,11.817,2.277,12.546,0,47.589,2211.97,1255.659,0,0.198919301080699,0.567665474667378
1161,3594,1.4832,3346,2188,317,0,492,323,700,6494,2423.102,0.608792431830829,0.311701081612586,0.373129350169387
1173,599.357,14.0122,225.976,405.1,89.392,0,96.154,9.589,180.786,630.195,751.49,0.675890996517935,0.330863356749994,1.19247217131205
1209,3033.8,25.944,5648,3659.8,863.4,398.7,1443,914.6,7051.3,9026,2024.606,1.20634188146878,0.109088152425234,0.224308220695768
1210,794.775,23.8631,1572,24.159,443,82.09,119,238.343,1267.7,2904,357.502,0.0303972822496933,0.258958321155083,0.123106749311295
1224,2361.927,26.8037,67.963,2641.16,317,94.145,286.2,0,1437.702,1328.18,16.003,1.11822253609023,0.18065745636581,0.0120488186842145
1225,450.208,16.9348,638.462,87,117.492,0,211.19,146,1194.2,1104.7,369.3,0.193244011656834,0.0895728570426594,0.334298904680004
1230,1662,30.7705,2762.5,1313,230.5,0,484.8,0,3117.1,3832.3,960.9,0.790012033694344,0.068855299318915,0.25073715523315
1234,51.981,57.8457,50.614,0,7.041,21.321,30.977,9.73,50.664,108.569,49.073,0,0.12201715622563,0.451998268382319
1254,264,27.5061,1272,386,107,52,109,27,1773,1646,293.022,1.46212121212121,0.0569148936170213,0.178020656136087
1266,37.441,14.2617,62.648,72.179,7.221,1.014,3.465,0,124.973,79.792,57.563,1.92780641542694,0.0546242643387748,0.721413174253058
1327,789.865,7.3038,568.443,24.743,52.709,0,198.704,485.587,204.363,1071.849,1540.417,0.0313256062744899,0.205035943237692,1.43715859230171
1356,6869,13.2639,17174,8842,1450,125,1254,5119,20161,21013,6847,1.28723249381278,0.0670954606450419,0.325845904916004
1380,8780,49.4224,25544,5537,3115,131,2921,2408,21127,33862,5370,0.630637813211845,0.128495998679977,0.158584844368318
1382,2909,0.5189,9257,4003,248,0,785,0,3796,11908,2501,1.37607425232039,0.0613254203758655,0.210026872690628
1388,22.877,13.5724,38.361,707.03,63.6,13.624,1.286,18.9,689.3,112.744,4.816,30.9057131616908,0.0844733696374021,0.0427162421060101
1397,66.893,14.5734,145.109,5.851,3.8,0,4.041,0,29.891,201.628,351.805,0.0874680459838847,0.112789765812828,1.74482214771758
