"gvkey","Restate_Int","act","bkvlps","cogs","dltt","dp","dv","ebit","gdwl","ppent","revt","xlr","leverage_index","depre_index","saleadmin_index"
1004,0,624.454,11.5326,704.081,318.576,29.222,0,62.655,44.432,213.38,897.284,5.108,0.510167282137676,0.120452428256981,0.00569273496462658
1004,0,645.721,13.0998,837.171,253.611,32.199,0,86.708,72.687,260.167,1061.169,137.408,0.392756314259564,0.110132505147657,0.129487386080822
1004,0,783.431,15.0944,1080.895,507.918,39.952,0,128.57,101.52,310.393,1384.919,137.408,0.648325123718617,0.114036164352281,0.0992173549500007
1004,0,851.312,16.8937,1110.677,392.984,40.551,0,125.529,109.751,245.586,1423.976,74.03,0.461621591144022,0.14171882699546,0.0519882357567824
1004,0,863.429,18.9167,1065.902,336.191,38.93,0,95.415,111.544,334.43,1352.151,2.726,0.389367278606579,0.104269337904435,0.00201604702433382
1013,0,853,6.6429,681.1,400,67.2,0,91.8,240.5,221.1,1169.2,5.108,0.468933177022274,0.23309053069719,0.00436879917892576
1013,0,942.7,7.4531,801.1,400,67.8,0,72.6,238.5,206.5,1281.9,82.987,0.424313143099607,0.247174626321546,0.0647374990248849
1013,0,1008.2,8.568,827.5,200.6,67.2,0,100.7,238.4,199.2,1322.2,2.726,0.198968458639159,0.252252252252252,0.0020617153229466
1013,0,1077.4,8.2138,870.7,650.7,82.4,0,90.9,359.3,177.1,1456.4,82.987,0.603953963244849,0.317533718689788,0.0569809118374073
1021,0,294.859,7.9242,1064.008,145.353,35.718,18.8,194.073,224.105,207.144,1512.193,74.03,0.492957650945028,0.147071176223534,0.0489553912761136
1021,0,101.528,5.2591,589.928,2.701,9.1,0,93.221,6.837,79.356,803.045,2.726,0.0266034985422741,0.10287600614995,0.0033945793822264
1021,0,1044.877,8.2771,4412.056,902.805,136.495,0,636,790.5,854,5855.7,5.108,0.864029928881581,0.137804834956259,0.000872312447700531
1034,1,1037.047,16.9769,150.257,0.017,67.106,9.481,95.995,116.747,215.174,553.617,137.408,1.63926996558497e-05,0.23772849652827,0.248200470722539
1045,0,6164,-8.0883,16832,13456,1164,0,102,0,18546,20712,6755,2.1829980532122,0.0590563165905632,0.326139436075705
1045,0,6902,-2.727,17659,12041,1157,0,1060,0,17941,22563,6813,1.74456679223414,0.060582259922505,0.301954527323494
1045,1,7229,10.6537,18026,10093,1064,0,1029,0,17394,22896,6770,1.39618204454281,0.0576443818398526,0.295684835779175
1045,0,5935,-10.5216,20232,9001,1083,0,-573,0,15735,23766,6655,1.51659646166807,0.0643952907599001,0.280021879996634
1045,0,6642,-10.4893,16935,10583,1007,0,-745,0,15476,19917,6807,1.59334537789822,0.0610932475884244,0.341768338605212
